,name,href,position,position_href,house_info,follow_info,total_price,unit_price
0,浅水半岛三期 1室1厅 东南,https://cd.ke.com/ershoufang/20031317710100145458.html,浅水半岛三期,https://cd.ke.com/xiaoqu/1611059057623/,"

                                  中楼层(共27层)
                                                    | 2010年建 |
                                1室1厅 | 42.96平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",90,单价20949.7元/平米
1,户型方正，朝南对中庭，安静，居家装修，可拎包入住,https://cd.ke.com/ershoufang/20031317710100135520.html,蓝光富丽花城,https://cd.ke.com/xiaoqu/3011052604851/,"

                                  中楼层(共18层)
                                                    | 2008年建 |
                                3室2厅 | 89.1平米
                                  | 东
                
              ","

                1人关注
                / 今天发布               ",135,单价15151.5元/平米
2,标准大套一朝南，房东诚心出售。距离地铁口近。,https://cd.ke.com/ershoufang/20031317710100141095.html,上东一号二期,https://cd.ke.com/xiaoqu/3011052292875/,"

                                  中楼层(共18层)
                                                    | 2012年建 |
                                1室1厅 | 51.79平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",75,单价14481.6元/平米
3,八二宿舍一区 2室1厅 南,https://cd.ke.com/ershoufang/20031317710100130147.html,八二宿舍一区,https://cd.ke.com/xiaoqu/3011053629837/,"

                                  中楼层(共7层)
                                                2室1厅 | 57平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",85,单价14912.3元/平米
4,龙湖三千 朝南对中庭 位置安静 带大阳台 通透户型,https://cd.ke.com/ershoufang/20031317710100123864.html,龙湖三千里B区二期,https://cd.ke.com/xiaoqu/3011053802952/,"

                                  低楼层(共33层)
                                                    | 2009年建 |
                                3室2厅 | 96.49平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",252,单价26116.7元/平米
5,秀林苑西区标准套一诚心出售，户型方正。,https://cd.ke.com/ershoufang/20031317710100120754.html,秀林苑西区,https://cd.ke.com/xiaoqu/3011055402774/,"

                                  低楼层(共18层)
                                                1室1厅 | 56.85平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",53,单价9322.8元/平米
6,上东国际 2室2厅 东南,https://cd.ke.com/ershoufang/20031317710100113947.html,上东国际,https://cd.ke.com/xiaoqu/3011053665993/,"

                                  高楼层(共33层)
                                                    | 2015年建 |
                                2室2厅 | 85.35平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",118,单价13825.4元/平米
7,千居朝阳 3室2厅 北,https://cd.ke.com/ershoufang/20031317710100109831.html,千居朝阳,https://cd.ke.com/xiaoqu/1611041598673/,"

                                  中楼层(共18层)
                                                    | 2008年建 |
                                3室2厅 | 102平米
                                  | 北
                
              ","

                0人关注
                / 今天发布               ",170,单价16666.7元/平米
8,二环内蓝光COCO时代居家套二,https://cd.ke.com/ershoufang/20031217710100338999.html,蓝光COCO时代,https://cd.ke.com/xiaoqu/3011053622524/,"

                                  高楼层(共32层)
                                                    | 2014年建 |
                                2室1厅 | 63.45平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",135,单价21276.6元/平米
9,中铁青秀城套二，小区环境好改善居住。,https://cd.ke.com/ershoufang/20031217710100323828.html,青秀城,https://cd.ke.com/xiaoqu/3011052739893/,"

                                  低楼层(共18层)
                                                    | 2012年建 |
                                2室1厅 | 78.51平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",140,单价17832.1元/平米
