,房屋名称,房屋链接,房屋位置,房屋位置链接,房屋总价,房屋单价,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间
0,浅水半岛三期1室1厅东南,https://cd.ke.com/ershoufang/20031317710100145458.html,浅水半岛三期,https://cd.ke.com/xiaoqu/1611059057623/,90.0,20949.7,中楼层(共27层),2010年建,1室1厅,42.96平米,东南,0,今天发布
1,户型方正，朝南对中庭，安静，居家装修，可拎包入住,https://cd.ke.com/ershoufang/20031317710100135520.html,蓝光富丽花城,https://cd.ke.com/xiaoqu/3011052604851/,135.0,15151.5,中楼层(共18层),2008年建,3室2厅,89.1平米,东,1,今天发布
2,标准大套一朝南，房东诚心出售。距离地铁口近。,https://cd.ke.com/ershoufang/20031317710100141095.html,上东一号二期,https://cd.ke.com/xiaoqu/3011052292875/,75.0,14481.6,中楼层(共18层),2012年建,1室1厅,51.79平米,南,0,今天发布
3,八二宿舍一区2室1厅南,https://cd.ke.com/ershoufang/20031317710100130147.html,八二宿舍一区,https://cd.ke.com/xiaoqu/3011053629837/,85.0,14912.3,中楼层(共7层)2室1厅,,2室1厅,57平米,南,0,今天发布
4,龙湖三千朝南对中庭位置安静带大阳台通透户型,https://cd.ke.com/ershoufang/20031317710100123864.html,龙湖三千里B区二期,https://cd.ke.com/xiaoqu/3011053802952/,252.0,26116.7,低楼层(共33层),2009年建,3室2厅,96.49平米,南,0,今天发布
5,秀林苑西区标准套一诚心出售，户型方正。,https://cd.ke.com/ershoufang/20031317710100120754.html,秀林苑西区,https://cd.ke.com/xiaoqu/3011055402774/,53.0,9322.8,低楼层(共18层)1室1厅,,1室1厅,56.85平米,南,0,今天发布
6,上东国际2室2厅东南,https://cd.ke.com/ershoufang/20031317710100113947.html,上东国际,https://cd.ke.com/xiaoqu/3011053665993/,118.0,13825.4,高楼层(共33层),2015年建,2室2厅,85.35平米,东南,0,今天发布
7,千居朝阳3室2厅北,https://cd.ke.com/ershoufang/20031317710100109831.html,千居朝阳,https://cd.ke.com/xiaoqu/1611041598673/,170.0,16666.7,中楼层(共18层),2008年建,3室2厅,102平米,北,0,今天发布
8,二环内蓝光COCO时代居家套二,https://cd.ke.com/ershoufang/20031217710100338999.html,蓝光COCO时代,https://cd.ke.com/xiaoqu/3011053622524/,135.0,21276.6,高楼层(共32层),2014年建,2室1厅,63.45平米,南,0,今天发布
9,中铁青秀城套二，小区环境好改善居住。,https://cd.ke.com/ershoufang/20031217710100323828.html,青秀城,https://cd.ke.com/xiaoqu/3011052739893/,140.0,17832.1,低楼层(共18层),2012年建,2室1厅,78.51平米,东南,0,今天发布
10,龙湖三千里B区二期2室1厅东南,https://cd.ke.com/ershoufang/20031217710100323663.html,龙湖三千里B区二期,https://cd.ke.com/xiaoqu/3011053802952/,192.0,22625.5,中楼层(共34层),2009年建,2室1厅,84.86平米,东南,9,今天发布
11,东三环内精装套二拎包入住,https://cd.ke.com/ershoufang/20031217710100318243.html,蓝润v客尚东一期,https://cd.ke.com/xiaoqu/1620037987997587/,102.0,15223.9,中楼层(共34层),2015年建,2室1厅,67平米,东北,0,今天发布
12,昭觉寺南路精装套一，带家具家电出售，可拎包入住,https://cd.ke.com/ershoufang/20031217710100295534.html,东立国际广场,https://cd.ke.com/xiaoqu/3011053519890/,76.0,13319.3,高楼层(共22层),2008年建,1室1厅,57.06平米,南,0,今天发布
13,花样年花郡通透的套二户型，客厅卧室对中庭,https://cd.ke.com/ershoufang/20031217710100309166.html,花样年花郡,https://cd.ke.com/xiaoqu/1611041612572/,170.0,19219.9,中楼层(共22层),2008年建,2室1厅,88.45平米,北,0,今天发布
14,驷马康城3室1厅东,https://cd.ke.com/ershoufang/20031217710100299056.html,驷马康城,https://cd.ke.com/xiaoqu/3011053587270/,146.0,16976.7,中楼层(共22层),2014年建,3室1厅,86平米,东,1,今天发布
15,蓝光coco国际一期2室1厅东南,https://cd.ke.com/ershoufang/20031217710100282786.html,蓝光coco国际一期,https://cd.ke.com/xiaoqu/1611100032254/,100.0,18518.5,低楼层(共38层),2016年建,2室1厅,54平米,东南,0,今天发布
16,东篱居一期1室1厅南,https://cd.ke.com/ershoufang/20031217710100278546.html,东篱居一期,https://cd.ke.com/xiaoqu/1611061458909/,13.0,3804.5,地下室(共层)1室1厅,,1室1厅,34.17平米,南,0,今天发布
17,龙湖三千里二期车位诚心出售位置宽好停车,https://cd.ke.com/ershoufang/20031217710100277180.html,龙湖三千里B区二期,https://cd.ke.com/xiaoqu/3011053802952/,20.0,10476.7,地下室(共层),2009年建,1室0厅,19.09平米,南,0,今天发布
18,华润二十四城一期2室1厅东,https://cd.ke.com/ershoufang/20031217710100267666.html,华润二十四城一期,https://cd.ke.com/xiaoqu/3011054427433/,186.8,20718.7,高楼层(共32层),2009年建,2室1厅,90.16平米,东,1,今天发布
19,红枫岭三期3室1厅西南,https://cd.ke.com/ershoufang/20031217710100257456.html,红枫岭三期,https://cd.ke.com/xiaoqu/3011053904970/,180.0,20000,低楼层(共33层),2009年建,3室1厅,90平米,西南,0,今天发布
20,万科天荟1室0厅北,https://cd.ke.com/ershoufang/20031217710100254683.html,万科天荟,https://cd.ke.com/xiaoqu/1620025994897501/,63.0,16578.9,高楼层(共44层),2019年建,1室0厅,38平米,北,0,今天发布
21,金科天籁城3室2厅西东,https://cd.ke.com/ershoufang/20031217710100253091.html,金科天籁城,https://cd.ke.com/xiaoqu/3011055384260/,205.0,18995.6,中楼层(共28层),2015年建,3室2厅,107.92平米,西东,0,今天发布
22,八里小区多层套三户型方正交通便利,https://cd.ke.com/ershoufang/20031217710100251058.html,东晖花园三期,https://cd.ke.com/xiaoqu/3011053442202/,130.0,13727.6,中楼层(共7层),2002年建,3室2厅,94.7平米,东,0,今天发布
23,成都理工大学北苑简装套二。,https://cd.ke.com/ershoufang/20031217710100249834.html,成都理工大学北苑,https://cd.ke.com/xiaoqu/1613552708496745/,45.0,8100.8,高楼层(共4层),1999年建,2室1厅,55.55平米,东南,1,今天发布
24,朝南看中庭安静居家视野采光好,https://cd.ke.com/ershoufang/20031217710100242630.html,东篱居一期,https://cd.ke.com/xiaoqu/1611061458909/,142.0,17707.9,中楼层(共11层),2007年建,2室2厅,80.19平米,南,1,今天发布
25,中国铁建北湖国际城二期3室2厅南,https://cd.ke.com/ershoufang/20031217710100247143.html,中国铁建北湖国际城二期,https://cd.ke.com/xiaoqu/1615365748592372/,125.0,15060.2,低楼层(共35层),2018年建,3室2厅,83平米,南,0,今天发布
26,标准套三双卫，户型方正，采光好,https://cd.ke.com/ershoufang/20031217710100243599.html,蓝光锦绣城,https://cd.ke.com/xiaoqu/3011052082027/,180.0,21084.7,低楼层(共31层)3室2厅,,3室2厅,85.37平米,南,0,今天发布
27,三环边，小套二，户型紧凑无浪费，17年次新小区,https://cd.ke.com/ershoufang/20031217710100244098.html,蓝润蓝客城,https://cd.ke.com/xiaoqu/1611064002535/,88.0,16281.2,高楼层(共28层)2室2厅,,2室2厅,54.05平米,南,3,今天发布
