,name,href,position,position_href,house_info,follow_info,total_price,unit_price
0,标准套三，小区住家安静舒适，物业管理到位,https://cd.ke.com/ershoufang/20031317710100103262.html,督院街54号,https://cd.ke.com/xiaoqu/1620021404785773/,"

                                  中楼层(共7层)
                                                    | 1995年建 |
                                3室1厅 | 104.85平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",300,单价28612.3元/平米
1,蓝谷地天域 3室2厅 西北,https://cd.ke.com/ershoufang/20031217710100302264.html,蓝谷地天域,https://cd.ke.com/xiaoqu/3011053261179/,"

                                  中楼层(共34层)
                                                    | 2010年建 |
                                3室2厅 | 86.37平米
                                  | 西北
                
              ","

                1人关注
                / 今天发布               ",159,单价18409.2元/平米
2,橡树林三期，精装套三双卫，加车位一起出售,https://cd.ke.com/ershoufang/20031217710100292384.html,瑞升望江橡树林三期,https://cd.ke.com/xiaoqu/1620042888152255/,"

                                  高楼层(共40层)
                                                    | 2017年建 |
                                3室2厅 | 89.74平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",270,单价30086.9元/平米
3,时代豪庭一期 2室1厅 南,https://cd.ke.com/ershoufang/20031217710100280452.html,时代豪庭一期,https://cd.ke.com/xiaoqu/1611041733939/,"

                                  高楼层(共35层)
                                                    | 2009年建 |
                                2室1厅 | 116平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",340,单价29310.3元/平米
4,海桐三期标准套一带生活阳台简单装修,https://cd.ke.com/ershoufang/20031217710100269949.html,海桐三期,https://cd.ke.com/xiaoqu/3011053375751/,"

                                  高楼层(共24层)
                                                    | 2014年建 |
                                1室1厅 | 45.9平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",54,单价11764.7元/平米
5,房子是标准套三双卫双阳台的户型，采光好,https://cd.ke.com/ershoufang/20031217710100266779.html,雕墅,https://cd.ke.com/xiaoqu/3011054640201/,"

                                  高楼层(共33层)
                                                    | 2007年建 |
                                3室1厅 | 102.96平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",380,单价36907.5元/平米
6,中港CCPARK 3室2厅 东,https://cd.ke.com/ershoufang/20031217710100266345.html,中港CCPARK,https://cd.ke.com/xiaoqu/166877044288575/,"

                                  高楼层(共31层)
                                                    | 2017年建 |
                                3室2厅 | 101平米
                                  | 东
                
              ","

                1人关注
                / 今天发布               ",260,单价25742.6元/平米
7,昭忠祠街52号 2室1厅 南 北,https://cd.ke.com/ershoufang/20031217710100260321.html,昭忠祠街52号,https://cd.ke.com/xiaoqu/3011053720411/,"

                                  中楼层(共7层)
                                                2室1厅 | 50平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",80,单价16000元/平米
8,锦江城市花园二期 2室1厅 东南,https://cd.ke.com/ershoufang/20031217710100248592.html,锦江城市花园二期,https://cd.ke.com/xiaoqu/1611041538906/,"

                                  中楼层(共34层)
                                                    | 2010年建 |
                                2室1厅 | 51.38平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",85,单价16543.4元/平米
9,恒大都汇华庭 高楼层 正对中庭 业主自装大套一出售,https://cd.ke.com/ershoufang/20031217710100237788.html,恒大都汇华庭,https://cd.ke.com/xiaoqu/1611061104258/,"

                                  中楼层(共50层)
                                                    | 2015年建 |
                                1室2厅 | 86.33平米
                                  | 东
                
              ","

                0人关注
                / 今天发布               ",258,单价29885.3元/平米
10,融创四海逸家 4室1厅 东南,https://cd.ke.com/ershoufang/20031217710100240985.html,融创四海逸家,https://cd.ke.com/xiaoqu/1611100689584/,"

                                  中楼层(共40层)
                                                    | 2015年建 |
                                4室1厅 | 97.42平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",375,单价38493.1元/平米
11,蓝润锦江春天 1室1厅 西北,https://cd.ke.com/ershoufang/20031217710100237458.html,蓝润锦江春天,https://cd.ke.com/xiaoqu/1611063394263/,"

                                  高楼层(共25层)
                                                    | 2016年建 |
                                1室1厅 | 53.26平米
                                  | 西北
                
              ","

                0人关注
                / 今天发布               ",85,单价15959.4元/平米
12,鑫苑名家一期 3室1厅 东南,https://cd.ke.com/ershoufang/20031217710100155140.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,"

                                  高楼层(共34层)
                                                    | 2011年建 |
                                3室1厅 | 79.64平米
                                  | 东南
                
              ","

                5人关注
                / 今天发布               ",130,单价16323.5元/平米
13,锦江城市花园三期套二户型对中庭视野采光好,https://cd.ke.com/ershoufang/20031217710100152220.html,锦江城市花园三期,https://cd.ke.com/xiaoqu/1611047140791/,"

                                  中楼层(共34层)
                                                    | 2011年建 |
                                2室1厅 | 58.8平米
                                  | 西北
                
              ","

                0人关注
                / 今天发布               ",105,单价17857.1元/平米
14,东御佲家 3室1厅 西北,https://cd.ke.com/ershoufang/20031217710100149989.html,东御佲家,https://cd.ke.com/xiaoqu/1611100029400/,"

                                  中楼层(共33层)
                                                    | 2017年建 |
                                3室1厅 | 92.38平米
                                  | 西北
                
              ","

                1人关注
                / 今天发布               ",175,单价18943.5元/平米
15,锦江区1.5环电梯高楼层套二朝东南,https://cd.ke.com/ershoufang/20031217710100148320.html,朝阳名宅,https://cd.ke.com/xiaoqu/1611041598814/,"

                                  高楼层(共18层)
                                                    | 2003年建 |
                                2室1厅 | 101.86平米
                                  | 东南
                
              ","

                1人关注
                / 今天发布               ",168,单价16493.2元/平米
16,家乐福楼上 标准套一对中庭不临街,https://cd.ke.com/ershoufang/20031217710100145230.html,财富中心,https://cd.ke.com/xiaoqu/3011054635711/,"

                                  中楼层(共30层)
                                                    | 2005年建 |
                                1室1厅 | 47.53平米
                                  | 西南
                
              ","

                0人关注
                / 今天发布               ",165,单价34714.9元/平米
17,翡翠城四期车位诚心出售。。。。,https://cd.ke.com/ershoufang/20031217710100127575.html,翡翠城四期,https://cd.ke.com/xiaoqu/1611043130056/,"

                                  地下室(共层)
                                                1室0厅 | 27.96平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",20,单价7153.1元/平米
18,爱丁郡院 3室1厅 东南,https://cd.ke.com/ershoufang/20031217710100127284.html,爱丁郡院,https://cd.ke.com/xiaoqu/3011053555256/,"

                                  低楼层(共18层)
                                                    | 2009年建 |
                                3室1厅 | 108.14平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",190,单价17569.8元/平米
19,鑫苑名家二期 2室1厅 东南,https://cd.ke.com/ershoufang/20031217710100124330.html,鑫苑名家二期,https://cd.ke.com/xiaoqu/1611047301096/,"

                                  高楼层(共34层)
                                                    | 2012年建 |
                                2室1厅 | 64.51平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",119,单价18446.8元/平米
20,星城银座 1室1厅 东南,https://cd.ke.com/ershoufang/20031217710100123784.html,星城银座,https://cd.ke.com/xiaoqu/1611041503471/,"

                                  高楼层(共11层)
                                                    | 2003年建 |
                                1室1厅 | 44.43平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",94,单价21156.9元/平米
21,翡翠城四期 1室0厅 南,https://cd.ke.com/ershoufang/20031217710100122429.html,翡翠城四期,https://cd.ke.com/xiaoqu/1611043130056/,"

                                  地下室(共层)
                                                1室0厅 | 29.71平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",18,单价6058.6元/平米
22,绿地468云玺四期  满两年 套三单卫 有阳台 装修房,https://cd.ke.com/ershoufang/20031217710100117415.html,绿地468云玺四期,https://cd.ke.com/xiaoqu/1613470195003830/,"

                                  低楼层(共39层)
                                                    | 2015年建 |
                                3室2厅 | 88.94平米
                                  | 东
                
              ","

                0人关注
                / 今天发布               ",208,单价23386.6元/平米
23,大观祥苑 1室1厅 东南,https://cd.ke.com/ershoufang/20031217710100107962.html,大观祥苑,https://cd.ke.com/xiaoqu/1620022968652048/,"

                                  低楼层(共22层)
                                                1室1厅 | 47.6平米
                                  | 东南
                
              ","

                2人关注
                / 今天发布               ",60,单价12605元/平米
24,俊发星雅俊园 1室1厅 东,https://cd.ke.com/ershoufang/20031217710100102048.html,俊发星雅俊园,https://cd.ke.com/xiaoqu/1611060973372/,"

                                  高楼层(共37层)
                                                    | 2015年建 |
                                1室1厅 | 37.57平米
                                  | 东
                
              ","

                0人关注
                / 今天发布               ",40,单价10646.8元/平米
25,比华利国际城二期 2室2厅 东南,https://cd.ke.com/ershoufang/20031117710100229587.html,比华利国际城二期,https://cd.ke.com/xiaoqu/3011053557417/,"

                                  高楼层(共26层)
                                                    | 2011年建 |
                                2室2厅 | 77.84平米
                                  | 东南
                
              ","

                0人关注
                / 2天前发布               ",175,单价22482元/平米
26,双栅子街102号 2室2厅 南 北,https://cd.ke.com/ershoufang/20031117710100228813.html,双栅子街102号,https://cd.ke.com/xiaoqu/1611100056289/,"

                                  中楼层(共7层)
                                                2室2厅 | 87.6平米
                                  | 南 北
                
              ","

                0人关注
                / 2天前发布               ",108,单价12328.8元/平米
27,三倒拐街1号 3室2厅 南,https://cd.ke.com/ershoufang/20031117710100225525.html,三倒拐街1号,https://cd.ke.com/xiaoqu/3011054660033/,"

                                  低楼层(共6层)
                                                    | 1994年建 |
                                3室2厅 | 90.02平米
                                  | 南
                
              ","

                1人关注
                / 2天前发布               ",135,单价14996.7元/平米
28,九眼桥 天紫界东南朝向套二 视野开阔无遮挡 采光好,https://cd.ke.com/ershoufang/20031117710100224735.html,天紫界,https://cd.ke.com/xiaoqu/1611043058189/,"

                                  高楼层(共55层)
                                                    | 2011年建 |
                                2室1厅 | 58.3平米
                                  | 东南
                
              ","

                0人关注
                / 2天前发布               ",116,单价19897.1元/平米
29,比华利经典套三户型，满两年无增值税，交通方便,https://cd.ke.com/ershoufang/20031117710100224811.html,比华利国际城三期,https://cd.ke.com/xiaoqu/3011053478981/,"

                                  高楼层(共33层)
                                                    | 2014年建 |
                                3室2厅 | 80.83平米
                                  | 西南
                
              ","

                0人关注
                / 2天前发布               ",190,单价23506.1元/平米
0,宜家HOME 1室1厅 东,https://cd.ke.com/ershoufang/20031117710100222897.html,宜家HOME,https://cd.ke.com/xiaoqu/1611059178365/,"

                                  高楼层(共11层)
                                                    | 2000年建 |
                                1室1厅 | 38.17平米
                                  | 东
                
              ","

                0人关注
                / 2天前发布               ",116.5,单价30521.4元/平米
1,户型方正，东南朝向，满两年，没有增值税,https://cd.ke.com/ershoufang/20031117710100221611.html,合能锦城,https://cd.ke.com/xiaoqu/1611063766797/,"

                                  低楼层(共32层)
                                                    | 2015年建 |
                                3室1厅 | 81.5平米
                                  | 西南
                
              ","

                0人关注
                / 2天前发布               ",160,单价19631.9元/平米
2,锦江边装修套二 带阳台中间楼层 带包入住,https://cd.ke.com/ershoufang/20031117710100221471.html,蓝光凯丽香江,https://cd.ke.com/xiaoqu/1611041618870/,"

                                  中楼层(共42层)
                                                    | 2009年建 |
                                2室2厅 | 76.11平米
                                  | 东
                
              ","

                0人关注
                / 2天前发布               ",142,单价18657.2元/平米
3,比华利国际城一期 3室2厅 南,https://cd.ke.com/ershoufang/20031117710100216983.html,比华利国际城一期,https://cd.ke.com/xiaoqu/3011053484408/,"

                                  高楼层(共26层)
                                                    | 2008年建 |
                                3室2厅 | 90.64平米
                                  | 南
                
              ","

                1人关注
                / 2天前发布               ",180,单价19858.8元/平米
4,锦江城市花园二期 2室1厅 东,https://cd.ke.com/ershoufang/20031117710100216585.html,锦江城市花园二期,https://cd.ke.com/xiaoqu/1611041538906/,"

                                  高楼层(共34层)
                                                    | 2010年建 |
                                2室1厅 | 53.98平米
                                  | 东
                
              ","

                0人关注
                / 2天前发布               ",98.5,单价18247.5元/平米
5,万科金色城市精装套二，户型方正，视野开阔，采光充足,https://cd.ke.com/ershoufang/20031117710100214281.html,万科金色城市,https://cd.ke.com/xiaoqu/1611064018200/,"

                                  低楼层(共35层)
                                                    | 2016年建 |
                                2室2厅 | 71.66平米
                                  | 西南
                
              ","

                0人关注
                / 2天前发布               ",128,单价17862.1元/平米
