,房屋名称,房屋链接,房屋位置,房屋位置链接,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间
0,家乐福楼上标准套一对中庭不临街,https://cd.ke.com/ershoufang/20031217710100145230.html,财富中心,https://cd.ke.com/xiaoqu/3011054635711/,中楼层(共30层),2005年建,1室1厅,47.53平米,西南,0,今天发布
1,爱丁郡院3室1厅东南,https://cd.ke.com/ershoufang/20031217710100127284.html,爱丁郡院,https://cd.ke.com/xiaoqu/3011053555256/,低楼层(共18层),2009年建,3室1厅,108.14平米,东南,0,今天发布
2,大观祥苑1室1厅东南,https://cd.ke.com/ershoufang/20031217710100107962.html,大观祥苑,https://cd.ke.com/xiaoqu/1620022968652048/,低楼层(共22层)1室1厅,47.6平米,东南,,,1,今天发布
3,俊发星雅俊园1室1厅东,https://cd.ke.com/ershoufang/20031217710100102048.html,俊发星雅俊园,https://cd.ke.com/xiaoqu/1611060973372/,高楼层(共37层),2015年建,1室1厅,37.57平米,东,0,今天发布
4,九眼桥天紫界东南朝向套二视野开阔无遮挡采光好,https://cd.ke.com/ershoufang/20031117710100224735.html,天紫界,https://cd.ke.com/xiaoqu/1611043058189/,高楼层(共55层),2011年建,2室1厅,58.3平米,东南,0,今天发布
5,比华利经典套三户型，满两年无增值税，交通方便,https://cd.ke.com/ershoufang/20031117710100224811.html,比华利国际城三期,https://cd.ke.com/xiaoqu/3011053478981/,高楼层(共33层),2014年建,3室2厅,80.83平米,西南,0,今天发布
6,户型方正，东南朝向，满两年，没有增值税,https://cd.ke.com/ershoufang/20031117710100221611.html,合能锦城,https://cd.ke.com/xiaoqu/1611063766797/,低楼层(共32层),2015年建,3室1厅,81.5平米,西南,0,今天发布
7,锦江边装修套二带阳台中间楼层带包入住,https://cd.ke.com/ershoufang/20031117710100221471.html,蓝光凯丽香江,https://cd.ke.com/xiaoqu/1611041618870/,中楼层(共42层),2009年建,2室2厅,76.11平米,东,0,今天发布
8,锦江城市花园二期2室1厅东,https://cd.ke.com/ershoufang/20031117710100216585.html,锦江城市花园二期,https://cd.ke.com/xiaoqu/1611041538906/,高楼层(共34层),2010年建,2室1厅,53.98平米,东,0,今天发布
9,万科金色城市精装套二，户型方正，视野开阔，采光充足,https://cd.ke.com/ershoufang/20031117710100214281.html,万科金色城市,https://cd.ke.com/xiaoqu/1611064018200/,低楼层(共35层),2016年建,2室2厅,71.66平米,西南,0,今天发布
10,人居锦尚春天A区精装套三！！！！,https://cd.ke.com/ershoufang/20031117710100212610.html,人居锦尚春天A区,https://cd.ke.com/xiaoqu/168800539259516/,高楼层(共34层)3室2厅,89.23平米,东南,,,0,今天发布
11,三圣乡精装套三，从未居住，可拎包入住,https://cd.ke.com/ershoufang/20031117710100211913.html,俊发星雅俊园,https://cd.ke.com/xiaoqu/1611060973372/,低楼层(共33层),2015年建,3室2厅,86平米,东北,0,今天发布
12,五世同堂街72号2室1厅南,https://cd.ke.com/ershoufang/20031117710100208178.html,五世同堂街72号,https://cd.ke.com/xiaoqu/1611059670059/,高楼层(共7层),1995年建,2室1厅,55.99平米,南,0,今天发布
13,美丽合江1室1厅北,https://cd.ke.com/ershoufang/20031117710100204366.html,美丽合江,https://cd.ke.com/xiaoqu/1611061108895/,低楼层(共13层)1室1厅,62.61平米,北,,,0,今天发布
14,鑫苑名家一期2室1厅南,https://cd.ke.com/ershoufang/20031117710100198533.html,鑫苑名家一期,https://cd.ke.com/xiaoqu/1611043165264/,中楼层(共34层),2011年建,2室1厅,79平米,南,0,今天发布
15,东城拐下街8号2室1厅南,https://cd.ke.com/ershoufang/20031117710100193128.html,东城拐下街8号,https://cd.ke.com/xiaoqu/1611060080780/,高楼层(共6层),1980年建,2室1厅,52.19平米,南,0,今天发布
16,首开龙湖天璞1室1厅东南,https://cd.ke.com/ershoufang/20031117710100192396.html,首开龙湖天璞,https://cd.ke.com/xiaoqu/1620025266079208/,低楼层(共30层),2020年建,1室1厅,82平米,东南,0,今天发布
17,弘邦领邸2室1厅东南,https://cd.ke.com/ershoufang/20031117710100183494.html,弘邦领邸,https://cd.ke.com/xiaoqu/3011055165363/,中楼层(共32层),2009年建,2室1厅,83.57平米,东南,0,今天发布
18,此房是开发商精装修套一，高楼层，视野好,https://cd.ke.com/ershoufang/20031117710100186065.html,恒大都汇华庭,https://cd.ke.com/xiaoqu/1611061104258/,高楼层(共50层),2015年建,1室1厅,89.17平米,东南东,0,今天发布
19,锦江区府河内河景大套三视野开阔,https://cd.ke.com/ershoufang/20031117710100180424.html,锦川楼,https://cd.ke.com/xiaoqu/1611058923019/,低楼层(共20层),2000年建,3室2厅,156.3平米,东南,0,今天发布
20,绿地468公馆二期3室2厅南西南,https://cd.ke.com/ershoufang/20031117710100177912.html,绿地468公馆二期,https://cd.ke.com/xiaoqu/1611100276106/,中楼层(共29层),2015年建,3室2厅,89平米,南西南,0,今天发布
21,锦蓉佳苑2室1厅东南,https://cd.ke.com/ershoufang/20031117710100173467.html,锦蓉佳苑,https://cd.ke.com/xiaoqu/1611047607016/,低楼层(共30层),2014年建,2室1厅,89.14平米,东南,0,今天发布
