,name,href,position,position_href,house_info,follow_info,total_price,unit_price
0,狮城名居 2室2厅 南,https://wh.ke.com/ershoufang/104105796035.html,狮城名居,https://wh.ke.com/xiaoqu/3711059895342/,"

                                  高楼层
                                    (共13层)
                                                                      | 2002年建 |
                                2室2厅 | 82平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",228,单价27805元/平米
1,米兰映象 3室2厅 南 北,https://wh.ke.com/ershoufang/104105795957.html,米兰映象,https://wh.ke.com/xiaoqu/3711099474052/,"

                                  高楼层
                                    (共33层)
                                                                      | 2011年建 |
                                3室2厅 | 124.46平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",340,单价27319元/平米
2,循礼门地铁口，协和旁，品质次新房，老证，婚房精装,https://wh.ke.com/ershoufang/104105795837.html,南国中心,https://wh.ke.com/xiaoqu/3711062643022/,"

                                  中楼层
                                    (共31层)
                                                                      | 2016年建 |
                                2室2厅 | 96.02平米
                                  | 西南
                
              ","

                0人关注
                / 今天发布               ",288,单价29994元/平米
3,北环路小区 门面房 诚心出售 看房方便,https://wh.ke.com/ershoufang/104105795824.html,北环路小区,https://wh.ke.com/xiaoqu/379659780705612/,"

                                  低楼层
                                    (共6层)
                                                                  1室0厅 | 23.44平米
                                  | 北
                
              ","

                0人关注
                / 今天发布               ",170,单价72526元/平米
4,东方雅园三期一室小户型  证满两年  诚心出售。,https://wh.ke.com/ershoufang/104105795808.html,东方雅园三期,https://wh.ke.com/xiaoqu/3720032002872378/,"

                                  低楼层
                                    (共18层)
                                                                  1室1厅 | 50.35平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",85,单价16882元/平米
5,金地华公馆 1室1厅 西,https://wh.ke.com/ershoufang/104105795745.html,金地华公馆,https://wh.ke.com/xiaoqu/3711063451331/,"

                                  中楼层
                                    (共18层)
                                                                      | 2012年建 |
                                1室1厅 | 40.17平米
                                  | 西
                
              ","

                0人关注
                / 今天发布               ",105,单价26139元/平米
6,绿地香树花城派克公馆 3室1厅 南,https://wh.ke.com/ershoufang/104105795714.html,绿地香树花城派克公馆,https://wh.ke.com/xiaoqu/3717745294144106/,"

                                  高楼层
                                    (共34层)
                                                                  3室1厅 | 92.92平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",135,单价14529元/平米
7,西马新村 2室1厅 南 北,https://wh.ke.com/ershoufang/104105795673.html,西马新村,https://wh.ke.com/xiaoqu/3711058247139/,"

                                  中楼层
                                    (共8层)
                                                                      | 1995年建 |
                                2室1厅 | 70平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",115,单价16429元/平米
8,鹏凌苑 2室2厅 南,https://wh.ke.com/ershoufang/104105795395.html,鹏凌苑,https://wh.ke.com/xiaoqu/3711063280044/,"

                                  高楼层
                                    (共9层)
                                                                      | 1998年建 |
                                2室2厅 | 81.84平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",160,单价19551元/平米
9,帝斯曼国际中心 3室1厅 南,https://wh.ke.com/ershoufang/104105795301.html,帝斯曼国际中心,https://wh.ke.com/xiaoqu/3711063749788/,"

                                  高楼层
                                    (共43层)
                                                                      | 2016年建 |
                                3室1厅 | 98.88平米
                                  | 南
                
              ","

                1人关注
                / 今天发布               ",666,单价67355元/平米
10,九坤翰林院品质小区大三房精装修,https://wh.ke.com/ershoufang/104105795283.html,九坤翰林苑,https://wh.ke.com/xiaoqu/3711063957095/,"

                                  中楼层
                                    (共23层)
                                                                      | 2015年建 |
                                3室1厅 | 108.6平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",112,单价10314元/平米
11,正规毛坯两房 中间楼层 采光视野好 汤逊湖畔 环境优美,https://wh.ke.com/ershoufang/104105795245.html,华舟汀岸,https://wh.ke.com/xiaoqu/3720030674805301/,"

                                  中楼层
                                    (共26层)
                                                                      | 2014年建 |
                                2室2厅 | 81.26平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",93,单价11445元/平米
12,百瑞景中央生活区一期 2室2厅 东,https://wh.ke.com/ershoufang/104105795190.html,百瑞景中央生活区一期,https://wh.ke.com/xiaoqu/3711059985521/,"

                                  高楼层
                                    (共27层)
                                                                      | 2008年建 |
                                2室2厅 | 94.55平米
                                  | 东
                
              ","

                0人关注
                / 今天发布               ",310,单价32787元/平米
13,鑫江花园东区 3室2厅 南 北,https://wh.ke.com/ershoufang/104105795145.html,鑫江花园东区,https://wh.ke.com/xiaoqu/3720034009763340/,"

                                  中楼层
                                    (共12层)
                                                                  3室2厅 | 132.51平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",95,单价7170元/平米
14,依山龙郡 3室1厅 南 北,https://wh.ke.com/ershoufang/104105794991.html,依山龙郡,https://wh.ke.com/xiaoqu/3711063994586/,"

                                  低楼层
                                    (共33层)
                                                                      | 2016年建 |
                                3室1厅 | 116.76平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",120,单价10278元/平米
15,全新精装三房 户型方正 采光很好,https://wh.ke.com/ershoufang/104105794962.html,瀚华天地,https://wh.ke.com/xiaoqu/3711063727695/,"

                                  高楼层
                                    (共15层)
                                                                      | 2016年建 |
                                3室2厅 | 121.02平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",108,单价8925元/平米
16,中间楼层 首付少 南湖边 近地铁出行方便 适合刚需,https://wh.ke.com/ershoufang/104105794916.html,南湖假日社区,https://wh.ke.com/xiaoqu/3711406535569265/,"

                                  低楼层
                                    (共7层)
                                                                      | 2008年建 |
                                2室1厅 | 66.69平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",118,单价17694元/平米
17,奥山世纪城CC尚品 3室1厅 南 北,https://wh.ke.com/ershoufang/104105794826.html,奥山世纪城CC尚品,https://wh.ke.com/xiaoqu/3711060287397/,"

                                  高楼层
                                    (共29层)
                                                                      | 2013年建 |
                                3室1厅 | 103.42平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",228,单价22047元/平米
18,佛祖岭地铁，自住精装修，一楼带别致小院，诚心出售。,https://wh.ke.com/ershoufang/104105794655.html,当代卡梅尔小镇,https://wh.ke.com/xiaoqu/3711060155751/,"

                                  低楼层
                                    (共24层)
                                                                      | 2013年建 |
                                2室2厅 | 79.98平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",150,单价18755元/平米
19,蔡甸临嶂大道地铁口旁毛坯证满大户型，房东诚心出售,https://wh.ke.com/ershoufang/104105794648.html,检苑,https://wh.ke.com/xiaoqu/3720033456836012/,"

                                  低楼层
                                    (共33层)
                                                                      | 2007年建 |
                                3室2厅 | 139.27平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",136,单价9766元/平米
20,幸源雅城 2室1厅 东南,https://wh.ke.com/ershoufang/104105794612.html,幸源雅城,https://wh.ke.com/xiaoqu/3711063325267/,"

                                  中楼层
                                    (共18层)
                                                                      | 2007年建 |
                                2室1厅 | 68.5平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",180,单价26278元/平米
21,通透格局 视野开阔 采光充足 配套设施齐全,https://wh.ke.com/ershoufang/104105794404.html,金地太阳城,https://wh.ke.com/xiaoqu/3711060447152/,"

                                  中楼层
                                    (共11层)
                                                                      | 2004年建 |
                                2室2厅 | 102.79平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",215,单价20917元/平米
22,阳光100大湖第 3室2厅 西南,https://wh.ke.com/ershoufang/104105794400.html,阳光100大湖第,https://wh.ke.com/xiaoqu/3711064027439/,"

                                  中楼层
                                    (共25层)
                                                                      | 2015年建 |
                                3室2厅 | 114.73平米
                                  | 西南
                
              ","

                0人关注
                / 今天发布               ",160,单价13946元/平米
23,精装修.大两房.无 税看房方便.诚心出售.价格可谈,https://wh.ke.com/ershoufang/104105794280.html,金山左岸时代,https://wh.ke.com/xiaoqu/376990267691086/,"

                                  低楼层
                                    (共18层)
                                                                      | 2015年建 |
                                2室2厅 | 86.13平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",110,单价12772元/平米
24,远洋心汉口，《老证》精装修，业主诚心出售！！！,https://wh.ke.com/ershoufang/104105794158.html,远洋心汉口二期,https://wh.ke.com/xiaoqu/3716135926852662/,"

                                  低楼层
                                    (共49层)
                                                                      | 2018年建 |
                                3室2厅 | 99.83平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",195,单价19534元/平米
25,阳光花园一楼带院子 两证满五年,https://wh.ke.com/ershoufang/104105794142.html,阳光花园,https://wh.ke.com/xiaoqu/3711056460430/,"

                                  低楼层
                                    (共7层)
                                                                      | 2002年建 |
                                3室2厅 | 110.33平米
                                  | 南 北
                
              ","

                1人关注
                / 今天发布               ",182,单价16496元/平米
