,name,href,position,position_href,house_info,follow_info,total_price,unit_price
0,长益商业寓所 1室0厅 东南,https://cd.ke.com/ershoufang/20031217710100333463.html,长益商业寓所,https://cd.ke.com/xiaoqu/1611043065020/,"

                                  地下室(共层)
                                                1室0厅 | 30.41平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",8,单价2630.7元/平米
1,房子是 电梯套二，设施齐全，出行方便,https://cd.ke.com/ershoufang/20031217710100333137.html,锦宏宝润苑,https://cd.ke.com/xiaoqu/1611041512951/,"

                                  中楼层(共12层)
                                                    | 2001年建 |
                                2室1厅 | 45.34平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",65,单价14336.1元/平米
2,华西国际 1室0厅 南 北,https://cd.ke.com/ershoufang/20031217710100330961.html,华西国际,https://cd.ke.com/xiaoqu/1611041503072/,"

                                  中楼层(共27层)
                                                    | 2004年建 |
                                1室0厅 | 47.54平米
                                  | 南 北
                
              ","

                0人关注
                / 今天发布               ",58,单价12200.3元/平米
3,鸿禧花园 4室2厅 北,https://cd.ke.com/ershoufang/20031217710100320073.html,鸿禧花园,https://cd.ke.com/xiaoqu/1611041497112/,"

                                  高楼层(共16层)
                                                    | 2002年建 |
                                4室2厅 | 162.86平米
                                  | 北
                
              ","

                0人关注
                / 今天发布               ",275.4,单价16910.2元/平米
4,一环内标准大套五，户型通透，采光好，带平台花园,https://cd.ke.com/ershoufang/20031217710100316362.html,华西大厦,https://cd.ke.com/xiaoqu/1611061247157/,"

                                  低楼层(共19层)
                                                    | 2002年建 |
                                5室1厅 | 215.71平米
                                  | 南 北
                
              ","

                2人关注
                / 今天发布               ",275,单价12748.6元/平米
5,归谷标准套四 东南向 对中庭 两梯两户,https://cd.ke.com/ershoufang/20031217710100303372.html,交大归谷国际社区,https://cd.ke.com/xiaoqu/1611043135126/,"

                                  高楼层(共13层)
                                                    | 2013年建 |
                                4室2厅 | 166.16平米
                                  | 东南
                
              ","

                2人关注
                / 今天发布               ",380,单价22869.5元/平米
6,鹭岛国际四期 1室2厅 西北,https://cd.ke.com/ershoufang/20031217710100292485.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,"

                                  中楼层(共18层)
                                                    | 2012年建 |
                                1室2厅 | 64.5平米
                                  | 西北
                
              ","

                0人关注
                / 今天发布               ",150,单价23255.8元/平米
7,华宇静苑一期 3室2厅 南,https://cd.ke.com/ershoufang/20031217710100284410.html,华宇静苑一期,https://cd.ke.com/xiaoqu/3011056103025/,"

                                  低楼层(共11层)
                                                    | 2014年建 |
                                3室2厅 | 83平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",195,单价23494元/平米
8,园中园北苑 1室1厅 南,https://cd.ke.com/ershoufang/20031217710100282456.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,"

                                  低楼层(共7层)
                                                    | 2000年建 |
                                1室1厅 | 52.09平米
                                  | 南
                
              ","

                0人关注
                / 今天发布               ",60,单价11518.5元/平米
9,2.5环 多层 板式结构、90万 带装修 诚心出售,https://cd.ke.com/ershoufang/20031217710100278640.html,双丰聚苑,https://cd.ke.com/xiaoqu/1611041543517/,"

                                  中楼层(共7层)
                                                    | 2003年建 |
                                2室1厅 | 69.52平米
                                  | 东南
                
              ","

                0人关注
                / 今天发布               ",90,单价12945.9元/平米
