,房屋名称,房屋链接,房屋位置,房屋位置链接,房屋总价,房屋单价,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间
0,长益商业寓所1室0厅东南,https://cd.ke.com/ershoufang/20031217710100333463.html,长益商业寓所,https://cd.ke.com/xiaoqu/1611043065020/,8.0,单价2630.7元/平米,地下室(共层)1室0厅,30.41平米,东南,,,0,今天发布
1,房子是电梯套二，设施齐全，出行方便,https://cd.ke.com/ershoufang/20031217710100333137.html,锦宏宝润苑,https://cd.ke.com/xiaoqu/1611041512951/,65.0,单价14336.1元/平米,中楼层(共12层),2001年建,2室1厅,45.34平米,东南,0,今天发布
2,华西国际1室0厅南北,https://cd.ke.com/ershoufang/20031217710100330961.html,华西国际,https://cd.ke.com/xiaoqu/1611041503072/,58.0,单价12200.3元/平米,中楼层(共27层),2004年建,1室0厅,47.54平米,南北,0,今天发布
3,鸿禧花园4室2厅北,https://cd.ke.com/ershoufang/20031217710100320073.html,鸿禧花园,https://cd.ke.com/xiaoqu/1611041497112/,275.4,单价16910.2元/平米,高楼层(共16层),2002年建,4室2厅,162.86平米,北,0,今天发布
4,一环内标准大套五，户型通透，采光好，带平台花园,https://cd.ke.com/ershoufang/20031217710100316362.html,华西大厦,https://cd.ke.com/xiaoqu/1611061247157/,275.0,单价12748.6元/平米,低楼层(共19层),2002年建,5室1厅,215.71平米,南北,2,今天发布
5,归谷标准套四东南向对中庭两梯两户,https://cd.ke.com/ershoufang/20031217710100303372.html,交大归谷国际社区,https://cd.ke.com/xiaoqu/1611043135126/,380.0,单价22869.5元/平米,高楼层(共13层),2013年建,4室2厅,166.16平米,东南,2,今天发布
6,鹭岛国际四期1室2厅西北,https://cd.ke.com/ershoufang/20031217710100292485.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,150.0,单价23255.8元/平米,中楼层(共18层),2012年建,1室2厅,64.5平米,西北,0,今天发布
7,华宇静苑一期3室2厅南,https://cd.ke.com/ershoufang/20031217710100284410.html,华宇静苑一期,https://cd.ke.com/xiaoqu/3011056103025/,195.0,单价23494元/平米,低楼层(共11层),2014年建,3室2厅,83平米,南,0,今天发布
8,园中园北苑1室1厅南,https://cd.ke.com/ershoufang/20031217710100282456.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,60.0,单价11518.5元/平米,低楼层(共7层),2000年建,1室1厅,52.09平米,南,0,今天发布
9,2.5环多层板式结构、90万带装修诚心出售,https://cd.ke.com/ershoufang/20031217710100278640.html,双丰聚苑,https://cd.ke.com/xiaoqu/1611041543517/,90.0,单价12945.9元/平米,中楼层(共7层),2003年建,2室1厅,69.52平米,东南,0,今天发布
10,林荫街居家电梯套三，小区环境好，不临街,https://cd.ke.com/ershoufang/20031217710100265872.html,林荫街9号,https://cd.ke.com/xiaoqu/1611061238349/,256.0,单价15651.7元/平米,中楼层(共19层),2002年建,3室2厅,163.56平米,北,0,今天发布
11,鹭岛国际一二期3室2厅南,https://cd.ke.com/ershoufang/20031217710100265181.html,鹭岛国际一二期,https://cd.ke.com/xiaoqu/1611043475800/,290.0,单价22218.8元/平米,高楼层(共14层),2006年建,3室2厅,130.52平米,南,1,今天发布
12,武侯祠横街2室1厅东,https://cd.ke.com/ershoufang/20031217710100264960.html,武侯祠横街,https://cd.ke.com/xiaoqu/3011053927874/,188.0,单价20982.1元/平米,中楼层(共7层),1996年建,2室1厅,89.6平米,东,0,今天发布
13,首航欣程大套四大阳台安静不临街,https://cd.ke.com/ershoufang/20031217710100265212.html,首航欣程,https://cd.ke.com/xiaoqu/1611048245025/,335.0,单价25541.3元/平米,中楼层(共32层),2014年建,4室1厅,131.16平米,东南,0,今天发布
14,双楠水岸2室1厅西南,https://cd.ke.com/ershoufang/20031217710100255343.html,双楠水岸,https://cd.ke.com/xiaoqu/1611041472654/,110.0,单价17380.3元/平米,高楼层(共9层),2003年建,2室1厅,63.29平米,西南,0,今天发布
