,房屋名称,房屋链接,房屋位置,房屋位置链接,房屋总价,房屋单价,楼层,建造时间,几室几厅,房屋面积,朝向,关注人数,发布时间,
0,长益商业寓所1室0厅东南,https://cd.ke.com/ershoufang/20031217710100333463.html,长益商业寓所,https://cd.ke.com/xiaoqu/1611043065020/,8,2630.7,地下室(共层)1室0厅,,1室0厅,30.41,东南,0,今天发布,
1,房子是电梯套二，设施齐全，出行方便,https://cd.ke.com/ershoufang/20031217710100333137.html,锦宏宝润苑,https://cd.ke.com/xiaoqu/1611041512951/,65,14336.1,中楼层(共12层),2001年建,2室1厅,45.34,东南,0,今天发布,
2,华西国际1室0厅南北,https://cd.ke.com/ershoufang/20031217710100330961.html,华西国际,https://cd.ke.com/xiaoqu/1611041503072/,58,12200.3,中楼层(共27层),2004年建,1室0厅,47.54,南北,0,今天发布,
3,鸿禧花园4室2厅北,https://cd.ke.com/ershoufang/20031217710100320073.html,鸿禧花园,https://cd.ke.com/xiaoqu/1611041497112/,275.4,16910.2,高楼层(共16层),2002年建,4室2厅,162.86平米,北,0,今天发布,
4,一环内标准大套五，户型通透，采光好，带平台花园,https://cd.ke.com/ershoufang/20031217710100316362.html,华西大厦,https://cd.ke.com/xiaoqu/1611061247157/,275,12748.6,低楼层(共19层),2002年建,5室1厅,215.71平米,南北,2,今天发布,
5,归谷标准套四东南向对中庭两梯两户,https://cd.ke.com/ershoufang/20031217710100303372.html,交大归谷国际社区,https://cd.ke.com/xiaoqu/1611043135126/,380,22869.5,高楼层(共13层),2013年建,4室2厅,166.16平米,东南,2,今天发布,
6,鹭岛国际四期1室2厅西北,https://cd.ke.com/ershoufang/20031217710100292485.html,鹭岛国际四期,https://cd.ke.com/xiaoqu/1611043477314/,150,23255.8,中楼层(共18层),2012年建,1室2厅,64.5平米,西北,0,今天发布,
7,华宇静苑一期3室2厅南,https://cd.ke.com/ershoufang/20031217710100284410.html,华宇静苑一期,https://cd.ke.com/xiaoqu/3011056103025/,195,23494,低楼层(共11层),2014年建,3室2厅,83平米,南,0,今天发布,
8,园中园北苑1室1厅南,https://cd.ke.com/ershoufang/20031217710100282456.html,园中园北苑,https://cd.ke.com/xiaoqu/3011053922682/,60,11518.5,低楼层(共7层),2000年建,1室1厅,52.09,南,0,今天发布,
1159,居家装修套二外带小花园随时可以看房,https://cd.ke.com/ershoufang/20011317710100136346.html,洗面桥巷19号,https://cd.ke.com/xiaoqu/3011053918966/,90,12649.3,低楼层(共7层),1999年建,2室2厅,71.15,东南,166,2月前发布,备选
